Estación:       XALAPAob,  VER
Operada por:    SMN ESIME
Longitud:       96°54'14"  Longitud: 19°30'43  Altitud: 1360

DD/MM/AAAA HH:MM      DIRS      DIRR  RAPVIENTO2  RAPRAFAGA2      TEMP        HR        PB      PREC   RAD-SOL
02/10/2014 17:00         106         268        1.60        3.80        25.7          60       865.2         0.0       646.0
02/10/2014 17:10         112         270        2.40        4.80        25.6          60       865.2         0.0       561.0
02/10/2014 17:20          94         269        2.00        3.80        25.1          63       865.2         0.0       664.0
02/10/2014 17:30          72         169        1.30        3.60        26.5          60       865.1         0.0       762.0
02/10/2014 17:40          60         165        1.70        5.00        26.8          62       865.0         0.0       887.0
02/10/2014 17:50          90         146        2.00        4.70        26.7          65       864.9         0.0       349.0
02/10/2014 18:00         103         185        2.50        5.20        25.2          69       864.9         0.0       802.0
02/10/2014 18:10         104         181        2.20        4.50        24.9          70       864.8         0.0       231.0
02/10/2014 18:20          98         148        2.30        4.70        23.8          74       864.8         0.0       230.0
02/10/2014 18:30          84         180        1.50        3.50        23.6          75       864.6         0.0       404.0
02/10/2014 18:40          84         272        1.30        3.50        24.6          71       864.6         0.0       745.0
02/10/2014 18:50          75         258        1.30        3.30        25.5          66       864.5         0.0       378.0
02/10/2014 19:00          78         169        1.50        3.80        26.1          61       864.3         0.0       990.0
02/10/2014 19:10         116         182        1.70        4.30        26.8          61       864.3         0.0       791.0
02/10/2014 19:20          99         187        2.00        4.60        24.8          70       864.3         0.0       231.0
02/10/2014 19:30         101         174        1.90        4.80        24.7          72       864.2         0.0       426.0
02/10/2014 19:40          99         253        2.20        4.40        24.7          70       864.1         0.0       612.0
02/10/2014 19:50         107         232        1.90        4.20        25.6          70       864.0         0.0       534.0
02/10/2014 20:00          97         211        1.90        4.50        26.1          67       863.9         0.0       411.0
02/10/2014 20:10          88         172        1.80        4.40        24.7          69       863.9         0.0       378.0
02/10/2014 20:20          97         179        2.10        4.00        25.1          69       863.8         0.0       419.0
02/10/2014 20:30         101         223        2.50        4.70        24.6          69       863.7         0.0       372.0
02/10/2014 20:40         122         202        2.90        6.00        24.6          70       863.6         0.0       430.0
02/10/2014 20:50         104         196        1.90        4.10        24.0          72       863.5         0.0       210.0
02/10/2014 21:00          84         141        1.70        3.50        23.4          75       863.5         0.0       196.0
02/10/2014 21:10         100         200        1.30        3.00        23.8          73       863.4         0.0       255.0
02/10/2014 21:20         110         239        1.90        4.00        23.9          72       863.3         0.0       253.0
02/10/2014 21:30         116         230        2.00        4.10        22.9          80       863.3         0.0       106.0
02/10/2014 21:40         128         241        2.10        4.40        22.3          84       863.4         0.0       155.0
02/10/2014 21:50         118         218        1.70        3.80        22.4          85       863.5         0.0       230.0
02/10/2014 22:00         112         269        1.50        3.70        22.1          85       863.4         0.0        65.0
02/10/2014 22:10          97         153        1.90        3.80        21.4          89       863.6         0.0        42.0
02/10/2014 22:20         117         297        1.70        4.20        21.3          89       863.6         0.0        73.0
02/10/2014 22:30          98         249        1.70        4.50        21.1          91       863.7         0.0        25.0
02/10/2014 22:40         110         221        1.50        3.50        20.6          93       863.7         0.0        15.0
02/10/2014 22:50         106         260        1.60        3.70        20.5          94       863.7         0.0        13.0
02/10/2014 23:00          98         258        1.40        3.20        20.4          94       863.9         0.0        20.0
02/10/2014 23:10          97         212        1.50        2.90        20.3          94       863.9         0.0        13.0
02/10/2014 23:20         100         188        1.60        3.10        20.3          95       863.9         0.0        15.0
02/10/2014 23:30         109         245        1.70        3.30        20.1          95       864.1         0.0         8.0
02/10/2014 23:40         110         208        1.40        3.30        20.0          95       864.3         0.0         3.0
02/10/2014 23:50         126         313        1.00        2.30        19.9          95       864.4         0.0         2.0
