sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (C);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.3172;3.4141;8.7843;0.1504;3.2931;9.236;0.1668;0.121;-0.4516;0.0468;-0.0925;-0.0195;1.93;-36.69;-18.16;184.55;-19.62;-0.93;2.0;42.328;19.519932;-96.91544;;;188.70969;0 / 2;28.8;96.0;4.225;222;2014-10-24 12:39:55:105
-0.1891;2.2015;8.6921;-1.153;2.7405;9.3451;0.9639;-0.539;-0.6529;0.3147;0.0478;-0.0322;3.94;-35.55;-19.43;183.23;-16.23;7.03;2.0;42.628;19.519932;-96.91544;;;188.70969;0 / 4;28.8;96.0;4.225;805;2014-10-24 12:39:55:688
-3.5291;0.9697;5.6515;-2.5132;3.0414;8.978;-1.0159;-2.0717;-3.3265;0.1884;0.0529;0.1249;2.46;-34.88;-19.94;179.31;-17.14;6.66;2.0;42.385;19.519932;-96.91544;;;188.70969;0 / 4;28.8;96.0;4.225;1411;2014-10-24 12:39:56:294
-19.6127;0.5878;0.8092;-9.2648;-2.0155;2.5043;-10.3479;2.6033;-1.6951;2.3041;2.6547;-3.9905;35.55;-17.49;6.07;240.69;-6.99;58.08;0.0;42.575;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;2503;2014-10-24 12:39:57:386
-9.651;-7.9428;0.8763;-9.5497;-2.0285;0.9264;-0.1013;-5.9143;-0.0501;-1.5049;1.1218;2.187;39.06;-8.64;-0.54;189.33;11.94;84.46;0.0;46.029;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;3080;2014-10-24 12:39:57:963
4.6424;-9.1075;1.7729;0.6805;-9.499;-2.3402;3.9618;0.3914;4.1132;3.0478;2.3007;-2.5423;6.32;14.71;33.92;197.86;66.02;156.71;0.0;63.006;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;3780;2014-10-24 12:39:58:663
-1.3372;-10.1586;1.4904;0.1363;-9.3628;-2.9136;-1.4735;-0.7958;4.404;-0.9374;0.2401;0.8942;-12.46;22.6;23.52;146.34;85.24;-122.13;0.0;71.379;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;4708;2014-10-24 12:39:59:591
-4.7896;-15.457;-5.4145;0.2268;-9.751;-1.0188;-5.0164;-5.706;-4.3957;0.405;2.1058;-0.2191;-20.9;29.09;12.56;254.3;78.36;-172.17;0.0;57.636;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;5265;2014-10-24 12:40:00:148
1.8711;-3.8176;1.5909;0.0988;-9.8058;-0.0847;1.7723;5.9882;1.6756;-0.1142;1.9552;0.4999;-24.27;21.46;17.26;185.34;89.24;-130.6;0.0;55.857;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;5932;2014-10-24 12:40:00:815
-5.6611;-14.5974;-4.6519;0.8679;-8.9782;3.8483;-6.5289;-5.6193;-8.5003;0.3006;-1.022;0.435;-19.57;33.0;3.75;57.84;66.28;-12.71;0.0;66.266;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;6496;2014-10-24 12:40:01:379
3.3363;-19.6133;-17.492;0.6003;-9.5701;-2.0549;2.736;-10.0432;-15.4372;-0.5768;2.0267;0.6099;-24.12;25.77;12.76;236.02;77.39;-163.72;0.0;64.759;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;7199;2014-10-24 12:40:02:082
-1.2617;-11.2911;2.4768;0.0213;-9.7973;-0.4266;-1.2831;-1.4937;2.9034;-1.9933;1.8889;0.4648;-24.59;30.36;1.22;267.84;87.5;-177.14;0.0;66.787;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;7751;2014-10-24 12:40:02:634
-1.2773;-11.5233;7.7596;1.2831;-9.7223;-0.0312;-2.5604;-1.801;7.7908;2.1963;-2.4822;-0.6744;-29.16;26.01;4.14;172.62;82.48;-91.39;0.0;66.937;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;8333;2014-10-24 12:40:03:216
3.0921;-12.6246;0.0443;0.4402;-9.7967;-0.0395;-0.3507;-2.8623;3.5936;-2.3685;1.3265;-0.9298;-24.98;26.29;11.21;160.54;87.42;-95.13;0.0;63.93;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;8922;2014-10-24 12:40:03:805
-3.4381;-7.944;1.2438;1.0069;-9.7399;0.5394;-4.445;1.7959;0.7044;0.9291;1.722;0.991;-21.95;22.83;10.74;172.63;80.41;-110.44;0.0;58.534;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;9451;2014-10-24 12:40:04:334
-0.4262;-10.3681;0.996;-0.0228;-9.7274;1.2439;-0.4034;-0.6407;-0.248;-2.2622;1.5973;-0.6343;-19.42;28.22;-1.78;70.22;69.94;-3.02;0.0;63.111;19.519932;-96.91544;;;188.70969;0 / 3;28.8;96.0;4.225;10021;2014-10-24 12:40:04:904
