# Estación meteorológica Xalapa-Enríquez, México, WMO_ID=76688, selección desde 01.01.2014 hasta 03.10.2014, todos los días
# Codificación: UTF-8
# Los datos han sido presentados por el sitio web "Real pronóstico", rp5.ru 
# Por favor, al utilizar los datos mencione este sitio.
# Determinación de los parámetros meteorológicos en el enlace: http://dev.rp5.ru.local/archive.php?wmo_id=27612&lang=en http://rp5.ru/archive.php?wmo_id=76688&lang=es
#
"Hora local en Xalapa-Enríquez";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.10.2014 10:00";"24.2";"651.2";"761.3";"0.9";"71";"Viento procedente del estenoreste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"03.10.2014 07:00";"17.8";"650.3";"762.8";"0.6";"99";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"17.8";"";"";"";"";"";"";"";"17.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"03.10.2014 04:00";"18.9";"649.7";"761.7";"-0.4";"98";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"03.10.2014 01:00";"19.1";"650.1";"762.0";"";"99";"Viento procedente del sur-oeste";"1";"";"";"";" ";"";"";"17.0";"27.2";"";"";"";"";"";"";"18.9";"Sin precipitación";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 19:00";"19.9";"648.4";"759.7";"0.7";"95";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"17.0";"27.2";"";"";"";"";"";"";"19.1";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 16:00";"24.0";"647.7";"757.3";"-1.0";"72";"Viento procedente del este";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 13:00";"26.7";"648.7";"757.4";"-0.9";"65";"Viento procedente del este";"2";"";"";"";" ";"";"";"17.0";"27.2";"";"";"";"";"";"";"19.5";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 10:00";"21.6";"649.6";"760.5";"0.2";"74";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.7";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 07:00";"17.8";"649.4";"761.8";"1.1";"100";"Viento procedente del este";"1";"";"";"";" ";"";"";"17.5";"";"";"";"";"";"";"";"17.8";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 04:00";"17.8";"648.3";"760.5";"-0.6";"100";"Calma, escampado";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"02.10.2014 01:00";"18.8";"648.9";"760.8";"0.2";"99";"Viento procedente del sudeste";"1";"";"";"";" ";"";"";"14.8";"27.3";"";"";"";"";"";"";"18.7";"0.2";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 22:00";"19.6";"648.7";"760.3";"1.4";"99";"Viento procedente del estesureste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"19.5";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 19:00";"21.3";"647.3";"757.9";"0.4";"92";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"14.8";"27.3";"";"";"";"";"";"";"20.0";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 16:00";"25.7";"646.9";"755.6";"-1.7";"66";"Viento procedente del sudeste";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 13:00";"25.1";"648.6";"757.9";"0.1";"70";"Viento procedente del sursureste";"2";"";"";"";" ";"";"";"14.8";"25.7";"";"";"";"";"";"";"19.2";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 10:00";"23.6";"648.5";"758.3";"0.4";"69";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.6";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 07:00";"14.9";"648.1";"761.4";"0.3";"100";"Viento procedente del oeste";"1";"";"";"";" ";"";"";"14.9";"27.0";"";"";"";"";"";"";"14.9";"Sin precipitación";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 04:00";"15.6";"647.8";"760.7";"-0.4";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"0.2";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.10.2014 01:00";"17.6";"648.2";"760.4";"-0.2";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"17.6";"27.0";"";"";"";"";"";"";"17.6";"2.0";"12";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"30.09.2014 22:00";"18.5";"648.4";"760.3";"1.3";"100";"Viento procedente del oestesuroeste";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.5";"2.0";"3";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
