,Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
0,430761598.141,-0.05191,0.786285,-0.313187,0.006335,-0.014837,-0.019716,0.006334,0.014836,-0.99987,0.000899,-0.00034,0.003044,0.000329,0.001651,-0.000334,111.088959,115.176033,-1.0,19.519849,-96.915459,258.816121,-1.0,-1.0,1353.804199
1,430761598.241,-0.028976,0.998047,-0.252487,0.006335,-0.014837,-0.019716,0.006334,0.014836,-0.99987,0.000899,-0.00034,0.003044,0.000329,0.001651,-0.000334,111.088959,115.176033,-1.0,19.519849,-96.915459,258.816121,-1.0,-1.0,1353.804199
2,430761598.342,-0.011261,1.001083,-0.152466,-0.166803,-1.193841,-0.118009,-0.061114,0.92979,-0.362983,0.036609,0.097966,0.081519,-1.303773,0.733253,-0.268638,111.088959,115.176033,-1.0,19.519849,-96.915459,258.816121,-1.0,-1.0,1353.804199
3,430761598.442,0.0401,0.97171,0.000824,0.063524,-1.406927,-0.190039,0.010356,0.986603,-0.162808,0.00031,-0.254227,0.173031,-2.917835,4.431477,0.537706,111.088959,115.176033,-1.0,19.519831,-96.915487,65.0,-1.0,-1.0,1351.40918
4,430761598.541,0.095978,0.952271,-0.016037,1.89345,-1.474958,1.162597,0.090754,0.995411,0.030342,-0.061243,0.528835,-0.088875,-2.224383,4.829,2.264625,111.088959,115.176033,-1.0,19.519831,-96.915487,65.0,-1.0,-1.0,1351.40918
5,430761598.642,0.015381,1.132416,-0.065994,2.607874,-1.307912,1.568741,0.132204,0.965644,0.223725,-0.134676,0.096337,-0.310837,-0.723411,1.704314,0.860562,111.088959,115.176033,-1.0,19.519831,-96.915487,65.0,-1.0,-1.0,1351.40918
6,430761598.74,-0.037903,0.928787,-0.085403,2.289264,-1.392396,1.294575,0.133591,0.984129,0.116807,-0.154038,0.052126,-0.216324,2.404089,-2.909571,-2.463808,40.172638,44.259712,25.0,19.519831,-96.915487,65.0,-1.0,-1.0,1351.40918
7,430761598.841,0.063995,1.119492,-0.035355,-1.121011,-1.352172,-1.587501,-0.195316,0.976197,-0.094297,0.254825,0.07785,0.04115,1.333588,-7.155938,-3.982871,31.364079,35.451153,25.0,19.519831,-96.915487,65.0,-1.0,-1.0,1351.40918
8,430761598.941,0.110016,1.109314,-0.019455,-1.927649,-1.012375,-1.658685,-0.496468,0.848092,0.18509,0.609689,0.310431,-0.21219,-0.573238,-7.152374,-2.242998,6.661323,10.748396,25.0,19.519865,-96.915468,65.0,-1.0,-1.0,1351.101074
9,430761599.041,0.058319,0.877457,0.013763,-2.497414,-1.097757,-1.66635,-0.273603,0.890188,0.36429,0.328947,-0.093069,-0.349138,3.187417,0.706299,2.355888,308.654297,312.741364,25.0,19.519865,-96.915468,65.0,-1.0,-1.0,1351.101074
10,430761599.141,0.03952,1.039886,0.011841,0.282511,-1.469962,0.685296,0.028062,0.99492,-0.096673,0.016036,0.129713,0.10679,3.866127,7.368048,4.594647,338.086182,342.173248,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
11,430761599.241,0.093216,1.344116,-0.006271,1.66702,-1.003697,1.199201,0.534703,0.843463,0.05161,-0.419652,0.502668,-0.074285,-0.531361,9.506618,3.764534,344.360168,348.447235,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
12,430761599.341,0.08078,1.176727,-0.08844,2.402559,-0.745043,1.252161,0.495116,0.678003,0.543296,-0.437057,0.674017,-0.63816,-6.703178,-4.938068,5.587948,10.855192,14.942266,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
13,430761599.441,-0.113449,0.789612,-0.172775,1.270089,-0.558042,1.189161,0.810228,0.529526,-0.251261,-0.78969,-0.249009,0.254068,-3.909972,-9.728541,-4.826076,310.841797,314.928864,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
14,430761599.541,0.043289,1.295563,-0.025299,0.682515,-1.06981,1.298757,0.302942,0.877109,-0.3727,-0.161676,0.31538,0.228031,1.987909,-4.743364,-0.230024,308.782318,312.869385,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
15,430761599.641,0.025131,1.827393,0.029999,2.874647,-1.503794,-2.640676,0.017661,0.997756,0.064581,-0.032157,0.367997,0.089685,-6.542244,2.160697,-3.872196,274.535645,278.622711,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
16,430761599.741,0.028336,1.577179,0.080627,-2.075074,-1.12165,-1.719529,-0.38015,0.900818,0.209793,0.429939,0.562988,-0.234039,-4.634591,6.239237,-6.090043,226.996323,231.083389,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
17,430761599.841,0.149643,0.846222,-0.038971,-1.342016,-0.664451,-1.719808,-0.766742,0.616627,-0.178541,0.980075,0.550411,0.094527,-0.210075,7.40572,-0.505206,48.386845,52.473919,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
18,430761599.941,0.035019,0.766815,-0.071335,-0.900555,-0.67857,-1.841756,-0.610066,0.62768,-0.483567,0.644627,0.174566,0.412659,-1.004734,2.733663,0.813094,71.153847,75.240921,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
19,430761600.041,0.015594,1.213531,-0.06929,-1.062571,-1.162792,-1.980692,-0.346629,0.917914,-0.193083,0.385127,0.006967,0.160887,-3.886449,-3.359209,4.507313,67.539902,71.626976,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
20,430761600.141,0.093002,1.499329,-0.009888,1.857713,-1.456535,1.407183,0.109352,0.993479,0.032265,-0.055641,0.550451,-0.082833,-0.591333,-5.287026,6.067879,21.756008,25.843082,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
21,430761600.241,0.028229,1.520157,0.00589,1.204653,-1.020659,1.206163,0.488151,0.852453,-0.187173,-0.45124,0.781169,0.179528,1.084471,-3.794569,2.629743,333.358337,337.445404,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
22,430761600.341,0.002441,1.120743,0.027023,0.942337,-0.666592,1.191214,0.635768,0.618311,-0.46205,-0.575161,0.515676,0.463545,1.537925,-1.342294,1.163024,306.685852,310.772919,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
23,430761600.441,0.050293,0.915894,-0.00119,0.89175,-0.804324,1.098242,0.539739,0.720362,-0.435615,-0.553258,0.126562,0.474998,0.091528,1.238423,-0.638799,314.634003,318.721069,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
24,430761600.541,-0.021988,1.151459,0.03096,1.038946,-1.086984,1.037683,0.400905,0.885228,-0.235895,-0.435924,0.359111,0.283395,-2.878891,3.012,-7.37021,333.803619,337.890686,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
25,430761600.641,0.080429,1.569626,0.003433,-0.894703,-1.34205,-1.323042,-0.176876,0.973951,-0.141893,0.336376,0.653276,0.102098,-0.326657,4.142478,-6.445383,32.631599,36.718674,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
26,430761600.741,0.09668,1.140823,-0.003036,-0.982997,-0.763856,-1.71399,-0.600967,0.691711,-0.400468,0.712814,0.687958,0.34662,1.435586,1.053205,-2.66447,63.063038,67.150108,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
27,430761600.841,0.004959,1.023026,-0.041885,-1.066162,-0.648704,-1.764603,-0.697539,0.604154,-0.385275,0.710662,0.318148,0.359061,0.547695,-1.452864,-1.069921,66.554344,70.641418,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
28,430761600.941,0.089798,0.849106,0.019302,-1.202807,-0.798937,-1.709762,-0.650775,0.716615,-0.250907,0.720142,0.093947,0.260627,-1.187442,-1.777976,4.977981,21.562231,25.649303,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
29,430761601.041,0.022827,1.445511,0.003326,-1.18975,-1.275513,-1.519723,-0.270138,0.95672,-0.108224,0.283947,0.351309,0.099695,-0.898244,-1.12098,4.718719,347.852631,351.939697,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
30,430761601.141,0.048004,1.769257,-0.011032,1.378324,-1.201269,1.120797,0.354506,0.932498,-0.069088,-0.251799,0.811704,0.050304,-0.016308,0.134522,5.651744,311.013062,315.100128,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
31,430761601.241,0.039474,1.305069,-0.019913,1.533144,-0.736367,1.228986,0.740388,0.671601,-0.027891,-0.698716,0.774185,0.01013,-0.04165,0.785496,4.298888,285.109497,289.196564,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
32,430761601.341,-0.022629,0.859985,-0.021362,1.600296,-0.579541,1.233591,0.83635,0.54764,0.024679,-0.853974,0.382643,-0.044927,0.147988,0.474835,-0.861583,278.885834,282.9729,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
33,430761601.441,0.002228,1.07576,-0.0168,1.573337,-0.871141,1.175153,0.643952,0.765064,0.001636,-0.644517,0.215023,-0.026661,0.731129,-0.230145,-4.836003,298.072998,302.160065,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
34,430761601.541,0.065033,1.516876,-0.008377,1.077631,-1.425089,0.707174,0.127891,0.989403,-0.068736,-0.080863,0.426429,0.055415,0.417534,-0.685027,-5.771259,332.932495,337.019562,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
35,430761601.641,0.063141,1.445755,-0.001175,-1.362001,-1.125483,-1.704567,-0.421386,0.902476,-0.089285,0.478667,0.68186,0.083349,0.158947,-0.237296,-5.267627,3.393524,7.480597,25.0,19.519889,-96.915457,65.0,-1.0,-1.0,1350.983276
